id,name
1,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
2,Gleipnir
3,Tower of God
4,Shokugeki no Souma: Gou no Sara
5,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta
6,Yesterday wo Utatte
7,Kakushigoto
8,Fugou Keiji: Balance:Unlimited
9,Fruits Basket 2nd Season
10,Princess Connect! Re:Dive
11,Hachi-nan tte, Sore wa Nai deshou!
12,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season
13,Appare-Ranman!
14,Arte
15,Nami yo Kiitekure
16,Shironeko Project: Zero Chronicle
17,Tsugu Tsugumomo
18,Listeners
19,Houkago Teibou Nisshi
20,Kingdom 3rd Season
21,Bungou to Alchemist: Shinpan no Haguruma
22,Shachou Battle no Jikan Desu!
23,Tamayomi
24,Kitsutsuki Tanteidokoro
25,Gal to Kyouryuu
26,Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...
27,Shin Sakura Taisen the Animation
28,IDOLiSH7: Second Beat!
29,Yu-Gi-Oh!: Sevens
30,Major 2nd (TV) 2nd Season
31,Bessatsu Olympia Kyklos
32,Shadowverse (TV)
33,Argonavis from BanG Dream!
34,BanG Dream! Garupa-Pico: Oomori
35,Komatta Jiisan
36,Asatir: Mirai no Mukashi Banashi
37,Cardfight!! Vanguard Gaiden: If
38,Gal-gaku.: Hijiri Girls Square Gakuin
39,Bakugan: Armored Alliance
40,Kiratto Pri-chan Season 3
41,Watanuki-san Chi to
42,TV Yarou Nanaana: Kaibutsu Kraken wo Oe!
43,Tomica Kizuna Gattai: Earth Granner
44,Anoyo no Subete wa, Obake-gumi!
45,Hakushon Daimaou 2020
46,Duel Masters King
47,Ooya-san to Boku
48,Mukashi Keibanashi 2nd Season
